,,,,,,,인천광역시,인천광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,경기도,경기도,강원도,강원도,충청북도,충청북도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주특별자치도,제주특별자치도
name,region,가구수,동반가족,age,,,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,가구수,동반가족,제주_가구수,제주_동반가족
30Busan2018,Busan,8,5,30under,,,31,25,35,23,27,17,433,287,311,215,241,177,423,267,596,418,746,494,693,451,511,363,134,92
30Busan2019,Busan,5,X,30under,,,25,16,11,5,18,11,307,190,272,184,247,166,321,193,419,259,638,394,595,390,419,301,83,52
30Busan2020,Busan,24,17,30under,,,28,15,20,14,28,16,553,388,249,171,245,148,397,235,440,239,648,380,567,380,357,229,110,75
40Busan2018,Busan,9,X,,,,26,7,13,5,17,X,198,47,197,42,159,30,254,56,350,87,489,99,454,109,334,78,92,9
40Busan2019,Busan,0,0,,,,18,4,5,X,17,X,182,36,174,39,137,28,215,38,317,57,390,63,398,81,224,51,73,10
40Busan2020,Busan,7,X,,,,20,5,15,0,18,4,201,46,154,32,144,36,236,41,292,52,454,72,380,88,194,30,86,9
50Busan2018,Busan,8,X,,,,70,14,44,7,39,8,463,104,556,108,506,114,610,132,597,125,899,161,1088,255,707,169,116,24
50Busan2019,Busan,7,0,,,,67,11,26,4,36,10,472,91,469,89,446,94,589,121,558,119,867,158,1084,226,625,140,98,12
50Busan2020,Busan,18,4,,,,49,10,40,11,29,5,513,119,430,81,415,83,633,129,620,97,938,129,1043,204,567,112,85,12
60Busan2018,Busan,7,X,,,,59,15,28,6,30,X,339,73,384,87,358,73,502,99,422,84,668,121,764,127,553,92,68,11
60Busan2019,Busan,4,0,,,,69,15,30,X,28,6,329,49,358,64,321,53,488,87,443,68,695,106,777,131,559,103,58,6
60Busan2020,Busan,8,X,,,,57,13,26,X,20,X,428,88,400,69,418,77,648,121,528,75,830,124,901,150,590,100,44,8
70Busan2018,Busan,4,X,,,,15,6,7,X,7,X,101,36,88,29,77,22,132,39,115,31,161,49,206,67,152,37,12,5
70Busan2019,Busan,4,X,,,,15,X,8,X,4,X,113,38,86,35,59,22,126,32,116,23,194,43,182,52,118,27,8,X
70Busan2020,Busan,8,6,,,,15,4,8,X,4,0,98,34,91,24,98,38,138,24,114,20,238,45,244,61,138,26,11,X
30Busan2018,Daegu,44,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Daegu2019,Daegu,53,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Daegu2020,Daegu,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
40Daegu2018,Daegu,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
40Daegu2019,Daegu,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
40Daegu2020,Daegu,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
50Daegu2018,Daegu,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
50Daegu2019,Daegu,33,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
50Daegu2020,Daegu,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
60Daegu2018,Daegu,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
60Daegu2019,Daegu,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
60Daegu2020,Daegu,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
70Daegu2018,Daegu,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
70Daegu2019,Daegu,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70Daegu2020,Daegu,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
